time,z,y,x
1610357307460478700,-0.31076717376708984,0.12633633613586426,-0.0804436206817627
1610357307470477800,-0.3241119384765625,0.15499496459960938,-0.0946318507194519
1610357307480477200,-0.33219242095947266,0.3442513942718506,0.49459248781204224
1610357307490476500,-0.39000606536865234,0.4330635070800781,0.3326568007469177
1610357307500476000,-0.39275360107421875,0.43058204650878906,0.3041990399360657
1610357307510475300,-0.39558982849121094,0.4285879135131836,0.2758076786994934
1610357307520474600,-0.39766979217529297,0.42502427101135254,0.24787908792495728
1610357307530474000,-0.3983268737792969,0.41866469383239746,0.2220504879951477
1610357307540473600,-0.39723682403564453,0.40972423553466797,0.2019088864326477
1610357307550472700,-0.39444732666015625,0.39884376525878906,0.1894199252128601
1610357307560472300,-0.3904123306274414,0.3865702152252197,0.1827678084373474
1610357307570471400,-0.38600921630859375,0.3739447593688965,0.17788726091384888
1610357307580470800,-0.3818073272705078,0.36154961585998535,0.17185956239700317
1610357307590470000,-0.3786888122558594,0.35094308853149414,0.16233640909194946
1610357307600469000,-0.3764009475708008,0.34133315086364746,0.14872795343399048
1610357307610468000,-0.3739776611328125,0.3307204246520996,0.13242584466934204
1610357307620467200,-0.3707304000854492,0.31749653816223145,0.11367756128311157
1610357307630466300,-0.36524486541748047,0.2990083694458008,0.09549075365066528
1610357307640465400,-0.3554840087890625,0.27126502990722656,0.08150708675384521
1610357307650464800,-0.3413734436035156,0.2344670295715332,0.07249963283538818
1610357307660463900,-0.32282066345214844,0.18873333930969238,0.0686752200126648
1610357307670463200,-0.29846858978271484,0.1321582794189453,0.0738031268119812
1610357307680462300,-0.2677764892578125,0.0635976791381836,0.08580082654953003
1610357307690461400,-0.24026107788085938,-0.002012968063354492,0.07412296533584595
1610357307700460800,-0.22238445281982422,-0.05015373229980469,0.0394824743270874
1610357307710460000,-0.2049732208251953,-0.09259843826293945,0.02200949192047119
1610357307720459000,-0.18908405303955078,-0.13134288787841797,0.003582894802093506
1610357307730458000,-0.17202281951904297,-0.1727299690246582,-0.0178835391998291
1610357307740457200,-0.14965438842773438,-0.2243790626525879,-0.03734886646270752
1610357307750456300,-0.11800003051757812,-0.29326772689819336,-0.05028331279754639
1610357307760455400,-0.07436084747314453,-0.384737491607666,-0.06126868724822998
1610357307770454500,-0.019385337829589844,-0.4971580505371094,-0.07800483703613281
1610357307780453600,0.04947471618652344,-0.6336369514465332,-0.10239458084106445
1610357307790452500,0.13666248321533203,-0.8019485473632812,-0.15139448642730713
1610357307800451600,0.24607467651367188,-1.0013909339904785,-0.20652848482131958
1610357307810450700,0.37521934509277344,-1.224203109741211,-0.28055381774902344
1610357307820449500,0.5186786651611328,-1.4568119049072266,-0.3699093759059906
1610357307830448400,0.6733055114746094,-1.6913886070251465,-0.46977129578590393
1610357307840447200,0.8335189819335938,-1.9184942245483398,-0.5735818147659302
1610357307850446300,0.9446206092834473,-3.508732318878174,1.368201732635498
1610357307860445200,1.097496509552002,-3.699653148651123,1.261711835861206
1610357307870444000,1.2399110794067383,-3.867562770843506,1.1602598428726196
1610357307880443000,-0.17706918716430664,-0.9079365730285645,1.2303636074066162
1610357307890441700,-0.04964303970336914,-1.0440764427185059,1.1532418727874756
1610357307900440600,-0.3761310577392578,-1.912733554840088,1.0438172817230225
1610357307910439400,-0.21616458892822266,-2.3888721466064453,1.1134045124053955
1610357307920438300,-0.041426658630371094,-2.6171579360961914,1.0097323656082153
1610357307930437000,-0.016185283660888672,-2.879380702972412,0.8739083409309387
1610357307940436000,-0.06096029281616211,-3.2171034812927246,0.6361128091812134
1610357307950434800,-0.5899214744567871,-3.5111916065216064,0.5619644522666931
1610357307960433400,-1.5112171173095703,-3.6073479652404785,0.4286699891090393
1610357307970432300,-2.424337148666382,-3.659174919128418,0.12202531099319458
1610357307980431000,-3.0711476802825928,-3.7567245960235596,-0.1930103898048401
1610357307990429700,-3.5441272258758545,-3.872066020965576,-0.4439115524291992
1610357308000428300,-3.7304739952087402,-3.7730860710144043,-0.5699670910835266
