time,gFx,gFy,gFz,TgF
5.323000,0.0650,0.2453,0.9702,1.003
5.324000,0.0652,0.2436,0.9709,1.003
5.325000,0.0643,0.2441,0.9697,1.002
5.327000,0.0645,0.2438,0.9689,1.001
5.329000,0.0652,0.2441,0.9689,1.001
5.331000,0.0652,0.2446,0.9687,1.001
5.333000,0.0638,0.2443,0.9694,1.002
5.335000,0.0630,0.2448,0.9689,1.001
5.337000,0.0643,0.2450,0.9687,1.001
5.339000,0.0660,0.2450,0.9670,1.000
5.341000,0.0655,0.2424,0.9665,0.999
5.343000,0.0657,0.2431,0.9680,1.000
5.345000,0.0662,0.2421,0.9692,1.001
5.348000,0.0657,0.2416,0.9663,0.998
5.349000,0.0660,0.2416,0.9667,0.999
5.351000,0.0650,0.2406,0.9658,0.997
5.353000,0.0645,0.2414,0.9665,0.998
5.355000,0.0645,0.2416,0.9663,0.998
5.357000,0.0655,0.2421,0.9655,0.998
5.360000,0.0655,0.2406,0.9670,0.999
5.361000,0.0657,0.2414,0.9675,0.999
5.363000,0.0672,0.2426,0.9658,0.998
5.365000,0.0669,0.2419,0.9670,0.999
5.367000,0.0674,0.2416,0.9675,0.999
5.369000,0.0669,0.2404,0.9680,1.000
5.374000,0.0660,0.2399,0.9670,0.998
5.375000,0.0635,0.2387,0.9650,0.996
5.375000,0.0635,0.2394,0.9631,0.994
5.377000,0.0621,0.2406,0.9628,0.994
5.379000,0.0618,0.2404,0.9619,0.993
5.381000,0.0633,0.2387,0.9602,0.991
5.383000,0.0635,0.2402,0.9606,0.992
5.385000,0.0635,0.2399,0.9602,0.992
5.390000,0.0643,0.2397,0.9587,0.990
5.390000,0.0665,0.2409,0.9602,0.992
5.391000,0.0672,0.2419,0.9628,0.995
5.393000,0.0667,0.2402,0.9628,0.995
5.395000,0.0665,0.2409,0.9619,0.994
5.397000,0.0665,0.2411,0.9609,0.993
5.399000,0.0684,0.2411,0.9614,0.994
5.401000,0.0691,0.2406,0.9606,0.993
5.403000,0.0677,0.2409,0.9619,0.994
5.405000,0.0677,0.2424,0.9628,0.995
5.408000,0.0689,0.2419,0.9628,0.995
5.409000,0.0694,0.2409,0.9621,0.994
5.411000,0.0696,0.2406,0.9624,0.994
5.413000,0.0699,0.2411,0.9636,0.996
5.415000,0.0701,0.2416,0.9641,0.996
5.417000,0.0711,0.2421,0.9638,0.996
5.418000,0.0723,0.2414,0.9643,0.997
5.421000,0.0706,0.2419,0.9636,0.996
5.425000,0.0709,0.2411,0.9648,0.997
5.425000,0.0713,0.2411,0.9646,0.997
5.428000,0.0709,0.2414,0.9665,0.999
5.429000,0.0701,0.2416,0.9660,0.998
5.431000,0.0701,0.2411,0.9660,0.998
5.433000,0.0687,0.2409,0.9667,0.999
5.436000,0.0687,0.2411,0.9677,1.000
5.439000,0.0684,0.2421,0.9682,1.000
5.440000,0.0672,0.2424,0.9692,1.001
5.441000,0.0677,0.2426,0.9702,1.002
5.443000,0.0691,0.2426,0.9704,1.003
5.445000,0.0696,0.2409,0.9702,1.002
5.448000,0.0699,0.2409,0.9709,1.003
5.449000,0.0699,0.2394,0.9726,1.004
5.451000,0.0701,0.2404,0.9731,1.005
5.453000,0.0694,0.2402,0.9738,1.005
5.456000,0.0701,0.2399,0.9711,1.003
5.457000,0.0694,0.2404,0.9719,1.004
5.459000,0.0691,0.2397,0.9716,1.003
5.461000,0.0691,0.2387,0.9707,1.002
5.463000,0.0689,0.2382,0.9704,1.002
5.465000,0.0691,0.2385,0.9699,1.001
5.468000,0.0699,0.2385,0.9692,1.001
5.469000,0.0696,0.2387,0.9689,1.000
5.474000,0.0691,0.2380,0.9687,1.000
5.474000,0.0669,0.2382,0.9675,0.999
5.475000,0.0679,0.2392,0.9660,0.998
5.477000,0.0672,0.2392,0.9646,0.996
5.479000,0.0672,0.2394,0.9628,0.994
5.481000,0.0660,0.2397,0.9628,0.994
5.483000,0.0655,0.2394,0.9636,0.995
5.485000,0.0662,0.2389,0.9638,0.995
5.487000,0.0674,0.2394,0.9633,0.995
5.489000,0.0665,0.2389,0.9628,0.994
5.491000,0.0669,0.2389,0.9626,0.994
5.494000,0.0665,0.2402,0.9619,0.994
5.495000,0.0652,0.2404,0.9609,0.993
5.497000,0.0650,0.2411,0.9609,0.993
5.499000,0.0655,0.2404,0.9619,0.994
5.501000,0.0650,0.2397,0.9636,0.995
5.503000,0.0645,0.2406,0.9624,0.994
5.506000,0.0652,0.2411,0.9619,0.994
5.507000,0.0665,0.2397,0.9624,0.994
5.509000,0.0679,0.2397,0.9621,0.994
5.511000,0.0660,0.2406,0.9619,0.994
5.513000,0.0652,0.2409,0.9628,0.995
5.515000,0.0652,0.2404,0.9616,0.993
5.517000,0.0657,0.2399,0.9611,0.993
5.519000,0.0660,0.2394,0.9619,0.993
5.521000,0.0657,0.2392,0.9621,0.994
5.523000,0.0662,0.2392,0.9633,0.995
5.526000,0.0643,0.2389,0.9648,0.996
5.528000,0.0667,0.2392,0.9648,0.996
5.529000,0.0677,0.2404,0.9663,0.998
5.531000,0.0672,0.2399,0.9660,0.998
5.533000,0.0669,0.2399,0.9665,0.998
5.535000,0.0684,0.2399,0.9663,0.998
5.537000,0.0689,0.2402,0.9648,0.997
5.539000,0.0699,0.2404,0.9653,0.997
5.541000,0.0696,0.2392,0.9655,0.997
5.543000,0.0694,0.2385,0.9641,0.996
5.545000,0.0699,0.2389,0.9653,0.997
5.547000,0.0696,0.2404,0.9672,0.999
5.549000,0.0704,0.2406,0.9682,1.000
5.550000,0.0706,0.2394,0.9685,1.000
5.553000,0.0694,0.2402,0.9704,1.002
5.555000,0.0709,0.2397,0.9724,1.004
5.557000,0.0711,0.2397,0.9724,1.004
5.559000,0.0709,0.2404,0.9726,1.004
5.561000,0.0728,0.2414,0.9753,1.007
5.563000,0.0728,0.2404,0.9758,1.008
5.565000,0.0721,0.2387,0.9760,1.007
5.567000,0.0701,0.2370,0.9785,1.009
5.569000,0.0696,0.2365,0.9787,1.009
5.572000,0.0687,0.2367,0.9765,1.007
5.574000,0.0672,0.2385,0.9741,1.005
5.575000,0.0669,0.2397,0.9726,1.004
5.577000,0.0665,0.2394,0.9714,1.003
5.579000,0.0652,0.2380,0.9687,1.000
5.581000,0.0650,0.2387,0.9680,0.999
5.584000,0.0650,0.2394,0.9663,0.998
5.585000,0.0640,0.2380,0.9631,0.994
5.591000,0.0650,0.2402,0.9616,0.993
5.591000,0.0657,0.2404,0.9624,0.994
5.592000,0.0657,0.2404,0.9626,0.994
5.593000,0.0662,0.2402,0.9626,0.994
5.595000,0.0667,0.2414,0.9624,0.994
5.597000,0.0643,0.2404,0.9636,0.995
5.600000,0.0628,0.2409,0.9641,0.996
5.601000,0.0633,0.2409,0.9631,0.995
5.603000,0.0638,0.2392,0.9621,0.993
5.606000,0.0633,0.2387,0.9624,0.994
5.607000,0.0628,0.2385,0.9619,0.993
5.609000,0.0640,0.2392,0.9638,0.995
5.611000,0.0660,0.2402,0.9641,0.996
5.613000,0.0665,0.2397,0.9648,0.996
5.615000,0.0669,0.2394,0.9653,0.997
5.617000,0.0662,0.2382,0.9628,0.994
5.619000,0.0657,0.2387,0.9628,0.994
5.622000,0.0662,0.2375,0.9655,0.997
5.623000,0.0657,0.2385,0.9667,0.998
5.625000,0.0665,0.2399,0.9672,0.999
5.627000,0.0647,0.2394,0.9672,0.999
5.629000,0.0635,0.2399,0.9670,0.998
5.631000,0.0633,0.2399,0.9670,0.998
5.633000,0.0657,0.2397,0.9672,0.999
5.635000,0.0667,0.2404,0.9658,0.997
5.637000,0.0662,0.2409,0.9655,0.997
5.639000,0.0652,0.2406,0.9648,0.996
5.641000,0.0665,0.2409,0.9653,0.997
5.643000,0.0667,0.2409,0.9643,0.996
5.645000,0.0657,0.2399,0.9646,0.996
5.648000,0.0667,0.2394,0.9660,0.997
5.649000,0.0667,0.2389,0.9660,0.997
5.651000,0.0662,0.2397,0.9663,0.998
5.653000,0.0662,0.2419,0.9643,0.996
5.656000,0.0665,0.2416,0.9631,0.995
5.657000,0.0662,0.2414,0.9609,0.993
5.659000,0.0669,0.2424,0.9587,0.991
5.661000,0.0677,0.2421,0.9597,0.992
5.663000,0.0691,0.2421,0.9621,0.995
5.665000,0.0691,0.2402,0.9633,0.995
5.667000,0.0691,0.2406,0.9624,0.994
5.669000,0.0684,0.2409,0.9633,0.995
5.672000,0.0687,0.2404,0.9641,0.996
5.673000,0.0691,0.2416,0.9648,0.997
5.675000,0.0696,0.2404,0.9665,0.998
5.677000,0.0696,0.2392,0.9675,0.999
5.679000,0.0684,0.2385,0.9675,0.999
5.681000,0.0682,0.2382,0.9689,1.000
5.683000,0.0684,0.2385,0.9689,1.000
5.685000,0.0674,0.2380,0.9702,1.001
5.688000,0.0682,0.2380,0.9711,1.002
5.692000,0.0694,0.2389,0.9697,1.001
5.693000,0.0682,0.2389,0.9692,1.001
5.694000,0.0689,0.2385,0.9682,1.000
5.696000,0.0709,0.2377,0.9667,0.998
5.697000,0.0696,0.2377,0.9660,0.997
5.700000,0.0687,0.2372,0.9655,0.997
5.701000,0.0682,0.2377,0.9660,0.997
5.704000,0.0677,0.2382,0.9665,0.998
5.706000,0.0669,0.2389,0.9655,0.997
5.708000,0.0655,0.2389,0.9648,0.996
5.709000,0.0657,0.2385,0.9650,0.996
5.712000,0.0665,0.2382,0.9650,0.996
5.713000,0.0662,0.2382,0.9641,0.995
5.716000,0.0672,0.2375,0.9631,0.994
5.717000,0.0669,0.2372,0.9631,0.994
5.719000,0.0665,0.2363,0.9641,0.995
5.721000,0.0657,0.2367,0.9636,0.994
5.723000,0.0667,0.2370,0.9636,0.995
5.725000,0.0674,0.2350,0.9631,0.994
5.727000,0.0682,0.2350,0.9650,0.996
5.729000,0.0674,0.2345,0.9655,0.996
5.731000,0.0677,0.2363,0.9663,0.997
5.733000,0.0660,0.2365,0.9655,0.996
5.735000,0.0660,0.2358,0.9665,0.997
5.737000,0.0655,0.2372,0.9670,0.998
5.740000,0.0660,0.2375,0.9665,0.997
5.741000,0.0660,0.2363,0.9675,0.998
5.743000,0.0657,0.2355,0.9682,0.999
5.745000,0.0652,0.2360,0.9677,0.998
5.747000,0.0657,0.2355,0.9677,0.998
5.749000,0.0672,0.2338,0.9682,0.998
5.751000,0.0689,0.2355,0.9689,1.000
5.753000,0.0694,0.2360,0.9699,1.001
5.755000,0.0696,0.2367,0.9694,1.000
5.757000,0.0689,0.2360,0.9675,0.998
5.759000,0.0687,0.2372,0.9677,0.999
5.761000,0.0687,0.2389,0.9697,1.001
5.763000,0.0662,0.2397,0.9699,1.001
5.765000,0.0652,0.2394,0.9707,1.002
5.768000,0.0667,0.2399,0.9707,1.002
5.769000,0.0662,0.2406,0.9716,1.003
5.772000,0.0650,0.2414,0.9716,1.003
5.773000,0.0660,0.2404,0.9704,1.002
5.776000,0.0660,0.2397,0.9694,1.001
5.777000,0.0672,0.2397,0.9697,1.001
5.779000,0.0677,0.2411,0.9702,1.002
5.781000,0.0665,0.2399,0.9670,0.999
5.783000,0.0657,0.2402,0.9675,0.999
5.785000,0.0650,0.2402,0.9675,0.999
5.787000,0.0652,0.2414,0.9665,0.998
5.791000,0.0657,0.2399,0.9670,0.998
5.792000,0.0665,0.2411,0.9665,0.998
5.793000,0.0655,0.2411,0.9643,0.996
5.795000,0.0657,0.2394,0.9633,0.995
5.797000,0.0655,0.2397,0.9641,0.996
5.799000,0.0652,0.2392,0.9636,0.995
5.801000,0.0647,0.2387,0.9619,0.993
5.803000,0.0643,0.2392,0.9614,0.993
5.806000,0.0650,0.2402,0.9633,0.995
5.807000,0.0647,0.2409,0.9680,1.000
5.809000,0.0660,0.2406,0.9675,0.999
5.812000,0.0660,0.2426,0.9675,1.000
5.813000,0.0672,0.2411,0.9677,1.000
5.815000,0.0684,0.2414,0.9680,1.000
5.817000,0.0694,0.2394,0.9694,1.001
5.819000,0.0687,0.2382,0.9685,1.000
5.821000,0.0694,0.2380,0.9677,0.999
5.823000,0.0687,0.2365,0.9680,0.999
5.825000,0.0684,0.2345,0.9670,0.997
5.828000,0.0674,0.2353,0.9672,0.998
5.829000,0.0674,0.2358,0.9655,0.996
5.831000,0.0679,0.2353,0.9641,0.995
5.833000,0.0684,0.2338,0.9631,0.993
5.835000,0.0687,0.2343,0.9631,0.994
5.837000,0.0682,0.2336,0.9638,0.994
5.839000,0.0669,0.2336,0.9641,0.994
5.841000,0.0669,0.2367,0.9636,0.994
5.843000,0.0674,0.2367,0.9624,0.993
5.845000,0.0669,0.2370,0.9641,0.995
5.847000,0.0667,0.2377,0.9658,0.997
5.849000,0.0691,0.2380,0.9680,0.999
5.850000,0.0689,0.2382,0.9677,0.999
5.853000,0.0689,0.2380,0.9682,0.999
5.856000,0.0679,0.2385,0.9702,1.001
5.857000,0.0672,0.2399,0.9707,1.002
5.859000,0.0647,0.2385,0.9702,1.001
5.861000,0.0647,0.2387,0.9692,1.000
5.863000,0.0630,0.2389,0.9702,1.001
5.865000,0.0623,0.2375,0.9685,0.999
5.868000,0.0621,0.2380,0.9689,1.000
5.869000,0.0621,0.2377,0.9689,1.000
5.871000,0.0630,0.2389,0.9670,0.998
5.873000,0.0643,0.2392,0.9689,1.000
5.875000,0.0633,0.2397,0.9694,1.001
5.877000,0.0638,0.2394,0.9699,1.001
5.879000,0.0657,0.2377,0.9714,1.002
5.881000,0.0655,0.2380,0.9699,1.001
5.883000,0.0657,0.2385,0.9702,1.001
5.885000,0.0657,0.2392,0.9711,1.002
5.888000,0.0645,0.2389,0.9719,1.003
5.892000,0.0630,0.2387,0.9719,1.003
5.892000,0.0647,0.2370,0.9716,1.002
5.893000,0.0679,0.2370,0.9721,1.003
5.895000,0.0679,0.2377,0.9726,1.004
5.897000,0.0677,0.2382,0.9716,1.003
5.899000,0.0679,0.2375,0.9711,1.002
5.901000,0.0687,0.2375,0.9716,1.003
5.903000,0.0694,0.2375,0.9714,1.002
5.906000,0.0709,0.2377,0.9704,1.002
5.907000,0.0696,0.2375,0.9714,1.002
5.909000,0.0694,0.2367,0.9702,1.001
5.911000,0.0711,0.2375,0.9687,1.000
5.913000,0.0709,0.2380,0.9689,1.000
5.915000,0.0716,0.2404,0.9707,1.003
5.917000,0.0706,0.2397,0.9699,1.002
5.919000,0.0699,0.2399,0.9689,1.001
5.921000,0.0713,0.2387,0.9672,0.999
5.923000,0.0713,0.2387,0.9665,0.998
5.925000,0.0709,0.2402,0.9663,0.998
5.927000,0.0699,0.2394,0.9646,0.996
5.929000,0.0704,0.2382,0.9638,0.995
5.931000,0.0706,0.2382,0.9633,0.995
5.933000,0.0699,0.2387,0.9636,0.995
5.935000,0.0694,0.2382,0.9609,0.992
5.937000,0.0696,0.2367,0.9606,0.992
5.939000,0.0711,0.2372,0.9594,0.991
5.941000,0.0706,0.2380,0.9587,0.990
5.943000,0.0704,0.2375,0.9587,0.990
5.945000,0.0706,0.2387,0.9589,0.991
5.948000,0.0706,0.2370,0.9580,0.989
5.950000,0.0706,0.2375,0.9594,0.991
5.951000,0.0694,0.2380,0.9589,0.990
5.953000,0.0665,0.2372,0.9592,0.990
5.955000,0.0662,0.2375,0.9580,0.989
5.957000,0.0662,0.2350,0.9592,0.990
5.959000,0.0652,0.2343,0.9597,0.990
5.961000,0.0645,0.2350,0.9597,0.990
5.962000,0.0643,0.2343,0.9594,0.990
5.965000,0.0638,0.2360,0.9614,0.992
5.967000,0.0628,0.2363,0.9619,0.992
5.969000,0.0608,0.2341,0.9626,0.993
5.970000,0.0635,0.2345,0.9641,0.994
5.975000,0.0625,0.2341,0.9638,0.994
5.975000,0.0608,0.2326,0.9636,0.993
5.977000,0.0591,0.2328,0.9663,0.996
5.979000,0.0599,0.2333,0.9663,0.996
5.981000,0.0594,0.2345,0.9658,0.996
5.983000,0.0596,0.2348,0.9665,0.996
5.985000,0.0613,0.2355,0.9641,0.994
5.987000,0.0611,0.2355,0.9643,0.995
5.989000,0.0611,0.2353,0.9641,0.994
5.991000,0.0628,0.2338,0.9663,0.996
5.994000,0.0628,0.2350,0.9665,0.997
5.995000,0.0643,0.2360,0.9677,0.998
5.997000,0.0647,0.2372,0.9682,0.999
5.998000,0.0647,0.2365,0.9685,0.999
6.001000,0.0662,0.2348,0.9709,1.001
6.003000,0.0696,0.2336,0.9711,1.001
6.006000,0.0691,0.2333,0.9714,1.001
6.008000,0.0706,0.2355,0.9748,1.005
6.010000,0.0713,0.2353,0.9751,1.006
6.011000,0.0716,0.2355,0.9755,1.006
6.013000,0.0721,0.2355,0.9763,1.007
6.015000,0.0713,0.2365,0.9775,1.008
6.017000,0.0713,0.2365,0.9773,1.008
6.019000,0.0743,0.2350,0.9782,1.009
6.021000,0.0733,0.2363,0.9780,1.009
6.023000,0.0745,0.2363,0.9785,1.009
6.025000,0.0743,0.2372,0.9787,1.010
6.027000,0.0740,0.2377,0.9765,1.008
6.029000,0.0730,0.2382,0.9758,1.007
6.031000,0.0713,0.2394,0.9741,1.006
6.033000,0.0733,0.2380,0.9738,1.005
6.035000,0.0726,0.2375,0.9733,1.005
6.037000,0.0718,0.2402,0.9719,1.004
6.040000,0.0716,0.2392,0.9694,1.001
6.041000,0.0716,0.2387,0.9697,1.001
6.043000,0.0711,0.2382,0.9694,1.001
6.045000,0.0701,0.2385,0.9689,1.000
6.047000,0.0704,0.2392,0.9680,1.000
6.049000,0.0701,0.2392,0.9650,0.997
6.051000,0.0706,0.2385,0.9638,0.995
6.053000,0.0704,0.2387,0.9643,0.996
6.056000,0.0694,0.2385,0.9621,0.994
6.058000,0.0669,0.2382,0.9643,0.996
6.059000,0.0667,0.2377,0.9648,0.996
6.061000,0.0684,0.2375,0.9646,0.996
6.063000,0.0687,0.2360,0.9648,0.996
6.065000,0.0674,0.2363,0.9643,0.995
6.067000,0.0647,0.2355,0.9641,0.995
6.069000,0.0640,0.2345,0.9638,0.994
6.073000,0.0645,0.2341,0.9643,0.994
6.074000,0.0640,0.2336,0.9633,0.993
6.075000,0.0643,0.2343,0.9633,0.993
6.077000,0.0630,0.2341,0.9648,0.995
6.079000,0.0628,0.2350,0.9646,0.995
6.081000,0.0652,0.2345,0.9624,0.993
6.083000,0.0640,0.2348,0.9631,0.993
6.084000,0.0633,0.2350,0.9626,0.993
6.087000,0.0650,0.2328,0.9628,0.993
6.091000,0.0650,0.2336,0.9646,0.995
6.092000,0.0660,0.2341,0.9650,0.995
6.093000,0.0655,0.2338,0.9628,0.993
6.095000,0.0657,0.2338,0.9624,0.993
6.105000,0.0655,0.2338,0.9628,0.993
6.105000,0.0662,0.2343,0.9633,0.994
6.105000,0.0657,0.2348,0.9621,0.993
6.105000,0.0677,0.2350,0.9626,0.993
6.106000,0.0691,0.2341,0.9633,0.994
6.107000,0.0689,0.2350,0.9643,0.995
6.110000,0.0687,0.2350,0.9646,0.995
6.111000,0.0684,0.2353,0.9655,0.996
6.113000,0.0687,0.2360,0.9650,0.996
6.115000,0.0689,0.2358,0.9650,0.996
6.117000,0.0691,0.2367,0.9665,0.997
6.119000,0.0709,0.2365,0.9648,0.996
6.121000,0.0711,0.2355,0.9655,0.996
6.123000,0.0704,0.2360,0.9680,0.999
6.125000,0.0696,0.2350,0.9672,0.998
6.129000,0.0691,0.2355,0.9670,0.998
6.129000,0.0696,0.2358,0.9653,0.996
6.131000,0.0694,0.2377,0.9658,0.997
6.133000,0.0704,0.2370,0.9670,0.998
6.135000,0.0704,0.2365,0.9667,0.998
6.137000,0.0711,0.2360,0.9658,0.997
6.140000,0.0718,0.2343,0.9658,0.996
6.144000,0.0716,0.2353,0.9655,0.996
6.144000,0.0706,0.2375,0.9658,0.997
6.145000,0.0711,0.2385,0.9663,0.998
6.148000,0.0687,0.2397,0.9658,0.997
6.149000,0.0691,0.2394,0.9655,0.997
6.151000,0.0679,0.2389,0.9658,0.997
6.153000,0.0645,0.2377,0.9658,0.997
6.157000,0.0638,0.2380,0.9650,0.996
6.158000,0.0625,0.2385,0.9641,0.995
6.159000,0.0630,0.2375,0.9636,0.994
6.162000,0.0628,0.2370,0.9638,0.995
6.164000,0.0618,0.2370,0.9646,0.995
6.165000,0.0616,0.2375,0.9648,0.995
6.167000,0.0611,0.2377,0.9653,0.996
6.169000,0.0618,0.2385,0.9665,0.997
6.171000,0.0616,0.2389,0.9682,0.999
6.174000,0.0608,0.2397,0.9675,0.999
6.175000,0.0611,0.2392,0.9709,1.002
6.177000,0.0613,0.2389,0.9709,1.002
6.179000,0.0616,0.2382,0.9689,1.000
6.181000,0.0623,0.2387,0.9707,1.002
6.183000,0.0625,0.2385,0.9699,1.001
6.185000,0.0647,0.2397,0.9704,1.002
6.188000,0.0657,0.2385,0.9702,1.001
6.190000,0.0669,0.2392,0.9692,1.001
6.197000,0.0655,0.2382,0.9697,1.001
6.198000,0.0645,0.2387,0.9697,1.001
6.198000,0.0645,0.2392,0.9697,1.001
6.198000,0.0652,0.2411,0.9692,1.001
6.199000,0.0647,0.2414,0.9699,1.002
6.204000,0.0650,0.2404,0.9699,1.001
6.204000,0.0660,0.2389,0.9687,1.000
6.205000,0.0669,0.2399,0.9689,1.000
6.212000,0.0660,0.2402,0.9682,1.000
6.213000,0.0662,0.2411,0.9680,1.000
6.213000,0.0665,0.2414,0.9685,1.000
6.213000,0.0657,0.2404,0.9692,1.001
6.215000,0.0672,0.2402,0.9685,1.000
6.217000,0.0667,0.2404,0.9677,0.999
6.219000,0.0655,0.2392,0.9670,0.998
6.221000,0.0647,0.2397,0.9677,0.999
6.223000,0.0672,0.2382,0.9680,0.999
6.224000,0.0669,0.2382,0.9675,0.999
6.226000,0.0647,0.2389,0.9658,0.997
6.229000,0.0667,0.2380,0.9665,0.998
6.231000,0.0652,0.2375,0.9660,0.997
6.233000,0.0640,0.2365,0.9658,0.996
6.235000,0.0638,0.2372,0.9663,0.997
6.237000,0.0635,0.2372,0.9650,0.996
6.238000,0.0621,0.2370,0.9646,0.995
6.241000,0.0623,0.2358,0.9641,0.994
6.243000,0.0613,0.2360,0.9633,0.994
6.245000,0.0608,0.2358,0.9655,0.996
6.248000,0.0616,0.2360,0.9680,0.998
6.249000,0.0625,0.2365,0.9670,0.997
6.250000,0.0623,0.2360,0.9650,0.995
6.252000,0.0623,0.2348,0.9638,0.994
6.255000,0.0621,0.2363,0.9646,0.995
6.257000,0.0611,0.2353,0.9663,0.996
6.259000,0.0628,0.2348,0.9682,0.998
6.261000,0.0621,0.2360,0.9687,0.999
6.263000,0.0603,0.2363,0.9694,1.000
6.265000,0.0621,0.2345,0.9704,1.000
6.267000,0.0625,0.2343,0.9697,1.000
6.269000,0.0628,0.2353,0.9699,1.000
6.270000,0.0645,0.2348,0.9694,1.000
6.273000,0.0657,0.2341,0.9702,1.000
6.275000,0.0660,0.2360,0.9704,1.001
6.277000,0.0643,0.2360,0.9697,1.000
6.279000,0.0638,0.2367,0.9694,1.000
6.281000,0.0655,0.2360,0.9697,1.000
6.282000,0.0679,0.2336,0.9680,0.998
6.285000,0.0706,0.2328,0.9663,0.996
6.286000,0.0706,0.2328,0.9663,0.996
6.292000,0.0713,0.2331,0.9658,0.996
6.293000,0.0713,0.2358,0.9665,0.997
6.293000,0.0709,0.2363,0.9675,0.998
6.295000,0.0706,0.2367,0.9680,0.999
6.297000,0.0691,0.2370,0.9677,0.999
6.299000,0.0682,0.2375,0.9672,0.998
6.301000,0.0694,0.2397,0.9667,0.998
6.303000,0.0682,0.2385,0.9658,0.997
6.305000,0.0687,0.2389,0.9648,0.996
6.308000,0.0687,0.2370,0.9646,0.996
6.309000,0.0691,0.2367,0.9653,0.996
6.311000,0.0704,0.2370,0.9663,0.997
6.313000,0.0679,0.2365,0.9643,0.995
6.315000,0.0665,0.2363,0.9658,0.996
6.317000,0.0679,0.2360,0.9653,0.996
6.318000,0.0691,0.2363,0.9660,0.997
6.320000,0.0682,0.2370,0.9658,0.997
6.323000,0.0682,0.2375,0.9648,0.996
6.325000,0.0691,0.2365,0.9660,0.997
6.328000,0.0704,0.2370,0.9653,0.996
6.329000,0.0696,0.2365,0.9648,0.996
6.331000,0.0682,0.2355,0.9646,0.995
6.333000,0.0691,0.2367,0.9667,0.998
6.335000,0.0701,0.2367,0.9665,0.998
6.337000,0.0689,0.2380,0.9648,0.996
6.339000,0.0679,0.2358,0.9670,0.998
6.341000,0.0672,0.2363,0.9658,0.997
6.343000,0.0667,0.2336,0.9653,0.995
6.345000,0.0679,0.2331,0.9655,0.996
6.348000,0.0684,0.2338,0.9658,0.996
6.349000,0.0684,0.2326,0.9638,0.994
6.351000,0.0677,0.2336,0.9631,0.993
6.353000,0.0687,0.2343,0.9636,0.994
6.355000,0.0687,0.2331,0.9650,0.995
6.357000,0.0674,0.2348,0.9643,0.995
6.360000,0.0672,0.2343,0.9650,0.995
6.361000,0.0677,0.2355,0.9670,0.998
6.363000,0.0677,0.2348,0.9663,0.997
6.365000,0.0660,0.2341,0.9658,0.996
6.368000,0.0647,0.2358,0.9653,0.996
6.369000,0.0635,0.2353,0.9655,0.996
6.371000,0.0645,0.2350,0.9667,0.997
6.374000,0.0645,0.2331,0.9667,0.997
6.375000,0.0643,0.2321,0.9670,0.997
6.377000,0.0630,0.2316,0.9682,0.998
6.379000,0.0633,0.2321,0.9685,0.998
6.381000,0.0643,0.2336,0.9682,0.998
6.383000,0.0645,0.2353,0.9685,0.999
6.385000,0.0645,0.2341,0.9677,0.998
6.387000,0.0665,0.2331,0.9704,1.000
6.389000,0.0660,0.2321,0.9731,1.003
6.393000,0.0665,0.2328,0.9743,1.004
6.394000,0.0667,0.2341,0.9736,1.004
6.395000,0.0669,0.2328,0.9758,1.005
6.398000,0.0667,0.2321,0.9763,1.006
6.399000,0.0687,0.2319,0.9777,1.007
6.402000,0.0684,0.2316,0.9785,1.008
6.403000,0.0687,0.2319,0.9770,1.006
6.405000,0.0684,0.2336,0.9724,1.002
6.407000,0.0696,0.2338,0.9709,1.001
6.409000,0.0687,0.2331,0.9711,1.001
6.411000,0.0691,0.2341,0.9714,1.002
6.413000,0.0694,0.2348,0.9702,1.001
6.415000,0.0687,0.2348,0.9697,1.000
6.417000,0.0679,0.2363,0.9687,0.999
6.419000,0.0684,0.2358,0.9685,0.999
6.421000,0.0679,0.2355,0.9685,0.999
6.424000,0.0679,0.2353,0.9685,0.999
6.426000,0.0674,0.2363,0.9687,0.999
6.428000,0.0682,0.2370,0.9685,0.999
6.429000,0.0677,0.2372,0.9680,0.999
6.432000,0.0660,0.2372,0.9665,0.997
6.433000,0.0672,0.2372,0.9663,0.997
6.435000,0.0665,0.2367,0.9670,0.998
6.437000,0.0687,0.2375,0.9665,0.998
6.439000,0.0682,0.2367,0.9648,0.996
6.441000,0.0674,0.2367,0.9638,0.995
6.443000,0.0679,0.2363,0.9631,0.994
6.445000,0.0672,0.2367,0.9628,0.994
6.447000,0.0674,0.2365,0.9636,0.994
6.449000,0.0679,0.2370,0.9636,0.995
6.451000,0.0684,0.2367,0.9633,0.994
6.453000,0.0669,0.2355,0.9633,0.994
6.455000,0.0662,0.2358,0.9636,0.994
6.458000,0.0652,0.2370,0.9643,0.995
6.459000,0.0667,0.2370,0.9636,0.995
6.461000,0.0657,0.2360,0.9626,0.993
6.463000,0.0635,0.2345,0.9621,0.992
6.465000,0.0638,0.2338,0.9636,0.994
6.467000,0.0630,0.2345,0.9650,0.995
6.469000,0.0633,0.2348,0.9646,0.995
6.471000,0.0628,0.2367,0.9653,0.996
6.473000,0.0623,0.2370,0.9658,0.996
6.475000,0.0616,0.2372,0.9670,0.998
6.477000,0.0621,0.2372,0.9670,0.998
6.479000,0.0635,0.2365,0.9655,0.996
6.481000,0.0623,0.2363,0.9665,0.997
6.483000,0.0623,0.2355,0.9670,0.997
