time,z,y,x
1610357060226749000,1.2970819473266602,-0.17914223670959473,-3.5544514656066895
1610357060236763000,1.3075037002563477,-0.08056950569152832,-3.7004971504211426
1610357060246769400,1.3095035552978516,-0.051982879638671875,-3.737475872039795
1610357060256773600,1.3080482482910156,-0.05339479446411133,-3.731297492980957
1610357060266776600,1.3063478469848633,-0.055716753005981445,-3.72335147857666
1610357060276778800,1.3037052154541016,-0.05742239952087402,-3.7129783630371094
1610357060286780700,1.3001985549926758,-0.05631899833679199,-3.7027525901794434
1610357060296782300,1.2965688705444336,-0.052100181579589844,-3.695422649383545
1610357060306783500,1.2933540344238281,-0.04408454895019531,-3.693483352661133
1610357060316784400,1.2901191711425781,-0.03450417518615723,-3.6931252479553223
1610357060326785000,1.2863483428955078,-0.0264737606048584,-3.6893177032470703
1610357060336785700,1.2825136184692383,-0.02098226547241211,-3.6825733184814453
1610357060346786000,1.2789344787597656,-0.015635967254638672,-3.6764774322509766
1610357060356786400,1.2747526168823242,-0.010267972946166992,-3.6683826446533203
1610357060366786600,1.2692413330078125,-0.0052144527435302734,-3.655491352081299
1610357060376786700,1.2619562149047852,0.0010552406311035156,-3.637885093688965
1610357060386786600,1.2532215118408203,0.00896000862121582,-3.6169943809509277
1610357060396786400,1.2437334060668945,0.017329692840576172,-3.593813896179199
1610357060406786600,1.234227180480957,0.024320602416992188,-3.5688014030456543
1610357060416786200,1.2248764038085938,0.028567075729370117,-3.5410118103027344
1610357060426786300,1.2166976928710938,0.030084609985351562,-3.513975143432617
1610357060436786000,1.2108917236328125,0.03378129005432129,-3.4975314140319824
1610357060446785800,1.2059965133666992,0.04181861877441406,-3.489090919494629
1610357060456785700,1.2015676498413086,0.053154945373535156,-3.4859580993652344
1610357060466785500,1.197561264038086,0.0652003288269043,-3.485062599182129
1610357060476785200,1.1923046112060547,0.07703995704650879,-3.4793972969055176
1610357060486784800,1.1854734420776367,0.08871293067932129,-3.4677815437316895
1610357060496784400,1.176839828491211,0.09998869895935059,-3.449049949645996
1610357060506784300,1.166128158569336,0.11215615272521973,-3.423459529876709
1610357060516783600,1.1533222198486328,0.1261124610900879,-3.391697883605957
1610357060526783200,1.1381988525390625,0.14234232902526855,-3.3531641960144043
