ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.022,-0.182,-9.862,0,0,0,1875,2021-01-15 19:00:36:157
0.022,-0.182,-9.862,0,0,0,1885,2021-01-15 19:00:36:167
0.022,-0.182,-9.862,0,0,0,1895,2021-01-15 19:00:36:177
0.022,-0.182,-9.862,0,0,0,1906,2021-01-15 19:00:36:188
0.022,-0.182,-9.862,0,0,0,1915,2021-01-15 19:00:36:197
0.022,-0.182,-9.862,0,0,0,1926,2021-01-15 19:00:36:208
0.024,-0.17,-9.845,0,0,0,1935,2021-01-15 19:00:36:217
0.024,-0.17,-9.845,0,0,0,1945,2021-01-15 19:00:36:227
0.024,-0.17,-9.845,0,0,0,1956,2021-01-15 19:00:36:238
0.024,-0.17,-9.845,0,0,0,1965,2021-01-15 19:00:36:247
0.024,-0.17,-9.845,0,0,0,1975,2021-01-15 19:00:36:257
0.024,-0.17,-9.845,0,0,0,1986,2021-01-15 19:00:36:268
0.029,-0.196,-9.838,0,0,0,1995,2021-01-15 19:00:36:277
0.029,-0.196,-9.838,0,0,0,2006,2021-01-15 19:00:36:288
0.029,-0.196,-9.838,0,0,0,2015,2021-01-15 19:00:36:297
0.029,-0.196,-9.838,0,0,0,2025,2021-01-15 19:00:36:307
0.029,-0.196,-9.838,0,0,0,2035,2021-01-15 19:00:36:317
0.029,-0.196,-9.838,0,0,0,2050,2021-01-15 19:00:36:332
0.034,-0.187,-9.86,0,0,0,2055,2021-01-15 19:00:36:337
0.034,-0.187,-9.86,0,0,0,2065,2021-01-15 19:00:36:347
0.034,-0.187,-9.86,0,0,0,2099,2021-01-15 19:00:36:381
0.034,-0.187,-9.86,0,0,0,2100,2021-01-15 19:00:36:382
0.034,-0.187,-9.86,0,0,0,2101,2021-01-15 19:00:36:383
0.034,-0.187,-9.86,0,0,0,2105,2021-01-15 19:00:36:387
0.024,-0.182,-9.852,0,0,0,2118,2021-01-15 19:00:36:400
0.024,-0.182,-9.852,0,0,0,2125,2021-01-15 19:00:36:407
0.024,-0.182,-9.852,0,0,0,2136,2021-01-15 19:00:36:418
0.024,-0.182,-9.852,0,0,0,2145,2021-01-15 19:00:36:427
0.024,-0.182,-9.852,0,-0.001,0,2155,2021-01-15 19:00:36:437
0.024,-0.182,-9.852,0,-0.001,0,2165,2021-01-15 19:00:36:447
0.024,-0.172,-9.852,0,-0.001,0,2175,2021-01-15 19:00:36:457
0.024,-0.172,-9.852,0,-0.001,0,2185,2021-01-15 19:00:36:467
0.024,-0.172,-9.852,0,-0.001,0,2195,2021-01-15 19:00:36:477
0.024,-0.172,-9.852,0,-0.001,0,2205,2021-01-15 19:00:36:487
0.024,-0.172,-9.852,0,-0.001,0,2215,2021-01-15 19:00:36:497
0.024,-0.172,-9.852,0,-0.001,0,2225,2021-01-15 19:00:36:507
