sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.12;9.788;-0.055;0.001;0.0;0.0;56;2021-01-16 16:14:25:237
-0.115;9.788;-0.026;0.001;0.0;0.0;67;2021-01-16 16:14:25:248
-0.115;9.788;-0.026;0.001;0.0;0.0;75;2021-01-16 16:14:25:256
-0.115;9.788;-0.026;0.001;0.0;0.0;86;2021-01-16 16:14:25:267
-0.115;9.788;-0.026;0.001;0.0;0.0;96;2021-01-16 16:14:25:277
-0.115;9.788;-0.026;0.001;0.0;0.0;105;2021-01-16 16:14:25:286
-0.115;9.788;-0.026;0.001;0.0;0.0;118;2021-01-16 16:14:25:299
-0.127;9.778;-0.022;0.001;0.0;0.0;127;2021-01-16 16:14:25:308
-0.127;9.778;-0.022;0.001;0.0;0.0;135;2021-01-16 16:14:25:316
-0.127;9.778;-0.022;0.001;0.0;0.0;147;2021-01-16 16:14:25:328
-0.127;9.778;-0.022;0.001;0.0;0.0;156;2021-01-16 16:14:25:337
-0.127;9.778;-0.022;0.0;0.0;0.0;167;2021-01-16 16:14:25:348
-0.127;9.778;-0.022;0.0;0.0;0.0;175;2021-01-16 16:14:25:356
-0.129;9.778;-0.038;0.0;0.0;0.0;187;2021-01-16 16:14:25:368
-0.129;9.778;-0.038;0.0;0.0;0.0;196;2021-01-16 16:14:25:377
-0.129;9.778;-0.038;0.0;0.0;0.0;205;2021-01-16 16:14:25:386
-0.129;9.778;-0.038;0.0;0.0;0.0;218;2021-01-16 16:14:25:399
-0.129;9.778;-0.038;0.0;0.0;0.0;225;2021-01-16 16:14:25:406
-0.129;9.778;-0.038;0.0;0.0;0.0;235;2021-01-16 16:14:25:416
-0.134;9.793;-0.057;0.0;0.0;0.0;246;2021-01-16 16:14:25:427
-0.134;9.793;-0.057;0.0;0.0;0.0;255;2021-01-16 16:14:25:436
-0.134;9.793;-0.057;0.0;0.0;0.0;265;2021-01-16 16:14:25:446
-0.134;9.793;-0.057;0.0;0.0;0.0;276;2021-01-16 16:14:25:457
-0.134;9.793;-0.057;0.0;0.0;0.0;285;2021-01-16 16:14:25:466
-0.134;9.793;-0.057;0.0;0.0;0.0;295;2021-01-16 16:14:25:476
-0.129;9.79;-0.065;0.0;0.0;0.0;306;2021-01-16 16:14:25:487
-0.129;9.79;-0.065;0.0;0.0;0.0;315;2021-01-16 16:14:25:496
-0.129;9.79;-0.065;0.0;0.0;0.0;325;2021-01-16 16:14:25:506
-0.129;9.79;-0.065;0.0;0.0;0.0;337;2021-01-16 16:14:25:518
-0.129;9.79;-0.065;0.0;0.0;0.0;345;2021-01-16 16:14:25:526
-0.129;9.79;-0.065;0.0;0.0;0.0;355;2021-01-16 16:14:25:536
-0.122;9.766;-0.041;0.0;0.0;0.0;366;2021-01-16 16:14:25:547
-0.122;9.766;-0.041;0.0;0.0;0.0;375;2021-01-16 16:14:25:556
-0.122;9.766;-0.041;0.0;0.0;0.0;385;2021-01-16 16:14:25:566
-0.122;9.766;-0.041;0.0;0.0;0.0;397;2021-01-16 16:14:25:578
-0.122;9.766;-0.041;0.001;0.0;0.0;405;2021-01-16 16:14:25:586
-0.122;9.766;-0.041;0.001;0.0;0.0;415;2021-01-16 16:14:25:596
-0.136;9.783;-0.005;0.001;0.0;0.0;425;2021-01-16 16:14:25:606
-0.136;9.783;-0.005;0.001;0.0;0.0;436;2021-01-16 16:14:25:617
-0.136;9.783;-0.005;0.001;0.0;0.0;447;2021-01-16 16:14:25:628
-0.136;9.783;-0.005;0.001;0.0;0.0;455;2021-01-16 16:14:25:636
-0.136;9.783;-0.005;0.001;0.0;0.0;466;2021-01-16 16:14:25:647
-0.136;9.783;-0.005;0.001;0.0;0.0;475;2021-01-16 16:14:25:656
-0.132;9.793;-0.029;0.001;0.0;0.0;487;2021-01-16 16:14:25:668
-0.132;9.793;-0.029;0.001;0.0;0.0;497;2021-01-16 16:14:25:678
-0.132;9.793;-0.029;0.001;0.0;0.0;506;2021-01-16 16:14:25:687
-0.132;9.793;-0.029;0.001;0.0;0.0;515;2021-01-16 16:14:25:696
-0.132;9.793;-0.029;0.001;0.0;0.0;528;2021-01-16 16:14:25:709
-0.132;9.793;-0.029;0.001;0.0;0.0;535;2021-01-16 16:14:25:716
-0.125;9.793;-0.05;0.001;0.0;0.0;545;2021-01-16 16:14:25:726
-0.125;9.793;-0.05;0.001;0.0;0.0;555;2021-01-16 16:14:25:736
-0.125;9.793;-0.05;0.001;0.0;0.0;570;2021-01-16 16:14:25:751
-0.125;9.793;-0.05;0.001;0.0;0.0;578;2021-01-16 16:14:25:759
-0.125;9.793;-0.05;0.001;0.0;0.0;586;2021-01-16 16:14:25:767
-0.125;9.793;-0.05;0.001;0.0;0.0;595;2021-01-16 16:14:25:776
-0.129;9.8;-0.041;0.001;0.0;0.0;605;2021-01-16 16:14:25:786
-0.129;9.8;-0.041;0.001;0.0;0.0;616;2021-01-16 16:14:25:797
-0.129;9.8;-0.041;0.001;0.0;0.0;625;2021-01-16 16:14:25:806
-0.129;9.8;-0.041;0.001;0.0;0.0;636;2021-01-16 16:14:25:817
-0.129;9.8;-0.041;0.0;-0.001;0.0;645;2021-01-16 16:14:25:826
-0.129;9.8;-0.041;0.0;-0.001;0.0;656;2021-01-16 16:14:25:837
-0.129;9.8;-0.041;0.0;-0.001;0.0;665;2021-01-16 16:14:25:846
-0.141;9.783;-0.06;0.0;-0.001;0.0;675;2021-01-16 16:14:25:856
-0.141;9.783;-0.06;0.0;-0.001;0.0;685;2021-01-16 16:14:25:866
-0.141;9.783;-0.06;0.0;-0.001;0.0;699;2021-01-16 16:14:25:880
-0.141;9.783;-0.06;0.0;-0.001;0.0;705;2021-01-16 16:14:25:886
-0.141;9.783;-0.06;0.0;-0.001;0.0;715;2021-01-16 16:14:25:896
-0.125;9.778;-0.045;0.0;-0.001;0.0;725;2021-01-16 16:14:25:906
-0.125;9.778;-0.045;0.0;-0.001;0.0;736;2021-01-16 16:14:25:917
-0.125;9.778;-0.045;0.0;-0.001;0.0;749;2021-01-16 16:14:25:930
-0.125;9.778;-0.045;0.0;-0.001;0.0;756;2021-01-16 16:14:25:937
-0.125;9.778;-0.045;0.0;0.0;0.0;769;2021-01-16 16:14:25:950
-0.125;9.778;-0.045;0.0;0.0;0.0;776;2021-01-16 16:14:25:957
-0.125;9.778;-0.045;0.0;0.0;0.0;785;2021-01-16 16:14:25:966
-0.115;9.793;-0.038;0.0;0.0;0.0;796;2021-01-16 16:14:25:977
-0.115;9.793;-0.038;0.0;0.0;0.0;805;2021-01-16 16:14:25:986
-0.115;9.793;-0.038;0.0;0.0;0.0;815;2021-01-16 16:14:25:996
-0.115;9.793;-0.038;0.0;0.0;0.0;827;2021-01-16 16:14:26:008
-0.115;9.793;-0.038;0.0;0.0;0.0;835;2021-01-16 16:14:26:016
-0.12;9.785;-0.031;0.0;0.0;0.0;847;2021-01-16 16:14:26:028
-0.12;9.785;-0.031;0.0;0.0;0.0;855;2021-01-16 16:14:26:036
-0.12;9.785;-0.031;0.0;0.0;0.0;865;2021-01-16 16:14:26:046
-0.12;9.785;-0.031;0.0;0.0;0.0;875;2021-01-16 16:14:26:056
-0.12;9.785;-0.031;0.0;-0.001;0.0;890;2021-01-16 16:14:26:071
-0.12;9.785;-0.031;0.0;-0.001;0.0;895;2021-01-16 16:14:26:076
-0.134;9.783;-0.031;0.0;-0.001;0.0;907;2021-01-16 16:14:26:088
-0.134;9.783;-0.031;0.0;-0.001;0.0;915;2021-01-16 16:14:26:096
-0.134;9.783;-0.031;0.0;-0.001;0.0;925;2021-01-16 16:14:26:106
-0.134;9.783;-0.031;0.0;-0.001;0.0;936;2021-01-16 16:14:26:117
-0.134;9.783;-0.031;0.0;-0.001;0.0;945;2021-01-16 16:14:26:126
-0.134;9.783;-0.031;0.0;-0.001;0.0;956;2021-01-16 16:14:26:137
-0.134;9.79;-0.036;0.0;-0.001;0.0;967;2021-01-16 16:14:26:148
-0.134;9.79;-0.036;0.0;-0.001;0.0;975;2021-01-16 16:14:26:156
-0.134;9.79;-0.036;0.0;-0.001;0.0;985;2021-01-16 16:14:26:166
-0.134;9.79;-0.036;0.0;-0.001;0.0;995;2021-01-16 16:14:26:176
-0.134;9.79;-0.036;0.0;0.0;0.0;1005;2021-01-16 16:14:26:186
-0.134;9.79;-0.036;0.0;0.0;0.0;1015;2021-01-16 16:14:26:196
-0.146;9.781;-0.029;0.0;0.0;0.0;1028;2021-01-16 16:14:26:209
-0.146;9.781;-0.029;0.0;0.0;0.0;1041;2021-01-16 16:14:26:222
-0.146;9.781;-0.029;0.0;0.0;0.0;1045;2021-01-16 16:14:26:226
-0.146;9.781;-0.029;0.0;0.0;0.0;1055;2021-01-16 16:14:26:236
-0.146;9.781;-0.029;0.0;0.0;0.0;1065;2021-01-16 16:14:26:246
-0.146;9.781;-0.029;0.0;0.0;0.0;1075;2021-01-16 16:14:26:256
-0.122;9.773;-0.053;0.0;0.0;0.0;1085;2021-01-16 16:14:26:266
-0.122;9.773;-0.053;0.0;0.0;0.0;1095;2021-01-16 16:14:26:276
-0.122;9.773;-0.053;0.0;0.0;0.0;1105;2021-01-16 16:14:26:286
-0.122;9.773;-0.053;0.0;0.0;0.0;1115;2021-01-16 16:14:26:296
-0.122;9.773;-0.053;0.0;0.0;0.0;1125;2021-01-16 16:14:26:306
-0.122;9.773;-0.053;0.0;0.0;0.0;1135;2021-01-16 16:14:26:316
-0.115;9.766;-0.031;0.0;0.0;0.0;1145;2021-01-16 16:14:26:326
-0.115;9.766;-0.031;0.0;0.0;0.0;1158;2021-01-16 16:14:26:339
-0.115;9.766;-0.031;0.0;0.0;0.0;1165;2021-01-16 16:14:26:346
-0.115;9.766;-0.031;0.0;0.0;0.0;1176;2021-01-16 16:14:26:357
-0.115;9.766;-0.031;0.0;0.0;0.0;1186;2021-01-16 16:14:26:367
-0.115;9.766;-0.031;0.0;0.0;0.0;1195;2021-01-16 16:14:26:376
