ACCELEROMETER X (m/sֲ²),ACCELEROMETER Y (m/sֲ²),ACCELEROMETER Z (m/sֲ²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.163,9.764,0.275,0,0,0,869,2021-01-15 19:05:55:721
-0.163,9.764,0.275,0,0,0,876,2021-01-15 19:05:55:728
-0.163,9.764,0.275,0,0,0,886,2021-01-15 19:05:55:738
-0.163,9.764,0.275,0,0,0,897,2021-01-15 19:05:55:749
-0.163,9.764,0.275,0,0,0,906,2021-01-15 19:05:55:758
-0.16,9.79,0.28,0,0,0,916,2021-01-15 19:05:55:768
-0.16,9.79,0.28,0,0,0,927,2021-01-15 19:05:55:779
-0.16,9.79,0.28,0,0,0,936,2021-01-15 19:05:55:788
-0.16,9.79,0.28,0,0,0,946,2021-01-15 19:05:55:798
-0.16,9.79,0.28,0,0,0,957,2021-01-15 19:05:55:809
-0.16,9.79,0.28,0,0,0,965,2021-01-15 19:05:55:817
-0.148,9.783,0.278,0,0,0,976,2021-01-15 19:05:55:828
-0.148,9.783,0.278,0,0,0,986,2021-01-15 19:05:55:838
-0.148,9.783,0.278,0,0,0,997,2021-01-15 19:05:55:849
-0.148,9.783,0.278,0,0,0,1006,2021-01-15 19:05:55:858
-0.148,9.783,0.278,0,0,0,1017,2021-01-15 19:05:55:869
-0.148,9.783,0.278,0,0,0,1026,2021-01-15 19:05:55:878
-0.163,9.783,0.28,0,0,0,1036,2021-01-15 19:05:55:888
-0.163,9.783,0.28,0,0,0,1046,2021-01-15 19:05:55:898
-0.163,9.783,0.28,0,0,0,1056,2021-01-15 19:05:55:908
-0.163,9.783,0.28,0,0,0,1075,2021-01-15 19:05:55:927
-0.163,9.783,0.28,0,0,0,1076,2021-01-15 19:05:55:928
-0.163,9.783,0.28,0,0,0,1086,2021-01-15 19:05:55:938
-0.168,9.776,0.275,0,0,0,1096,2021-01-15 19:05:55:948
-0.168,9.776,0.275,0,0,0,1107,2021-01-15 19:05:55:959
-0.168,9.776,0.275,0,0,0,1116,2021-01-15 19:05:55:968
-0.168,9.776,0.275,0,0,0,1126,2021-01-15 19:05:55:978
-0.168,9.776,0.275,0,0,0,1136,2021-01-15 19:05:55:988
-0.168,9.776,0.275,0,0,0,1146,2021-01-15 19:05:55:998
-0.136,9.785,0.263,0,0,0,1156,2021-01-15 19:05:56:008
-0.136,9.785,0.263,0,0,0,1167,2021-01-15 19:05:56:019
-0.136,9.785,0.263,0,0,0,1190,2021-01-15 19:05:56:042
-0.136,9.785,0.263,0,0,0,1190,2021-01-15 19:05:56:042
-0.136,9.785,0.263,0,0,0,1196,2021-01-15 19:05:56:048
-0.136,9.785,0.263,0,0,0,1205,2021-01-15 19:05:56:057
-0.177,9.785,0.247,0,0,0,1216,2021-01-15 19:05:56:068
-0.177,9.785,0.247,0,0,0,1226,2021-01-15 19:05:56:078
-0.177,9.785,0.247,0,0,0,1236,2021-01-15 19:05:56:088
-0.177,9.785,0.247,0,0,0,1246,2021-01-15 19:05:56:098
-0.177,9.785,0.247,0,0,0,1256,2021-01-15 19:05:56:108
-0.177,9.785,0.247,0,0,0,1266,2021-01-15 19:05:56:118
-0.156,9.771,0.256,0,0,0,1276,2021-01-15 19:05:56:128
-0.156,9.771,0.256,0,0,0,1292,2021-01-15 19:05:56:144
