ACCELEROMETER X (m/sֲ²),ACCELEROMETER Y (m/sֲ²),ACCELEROMETER Z (m/sֲ²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.177,-9.795,-0.055,0,0,0,19,2021-01-15 19:04:56:544
0.177,-9.795,-0.055,0,0,0,28,2021-01-15 19:04:56:553
0.177,-9.795,-0.055,0,0,0,38,2021-01-15 19:04:56:563
0.177,-9.795,-0.055,0,0,0,48,2021-01-15 19:04:56:573
0.177,-9.795,-0.055,0,0,0,57,2021-01-15 19:04:56:582
0.177,-9.795,-0.055,0,0,0,68,2021-01-15 19:04:56:593
0.177,-9.795,-0.055,0,0,0,78,2021-01-15 19:04:56:603
0.165,-9.788,-0.055,0,0,0,88,2021-01-15 19:04:56:613
0.165,-9.788,-0.055,0,0,0,98,2021-01-15 19:04:56:623
0.165,-9.788,-0.055,0,0,0,108,2021-01-15 19:04:56:633
0.165,-9.788,-0.055,0,0,0,117,2021-01-15 19:04:56:642
0.165,-9.788,-0.055,0,0,0,128,2021-01-15 19:04:56:653
0.165,-9.788,-0.055,0,0,0,138,2021-01-15 19:04:56:663
0.172,-9.781,-0.043,0,0,0,148,2021-01-15 19:04:56:673
0.172,-9.781,-0.043,0,0,0,157,2021-01-15 19:04:56:682
0.172,-9.781,-0.043,0,0,0,167,2021-01-15 19:04:56:692
0.172,-9.781,-0.043,0,0,0,178,2021-01-15 19:04:56:703
0.172,-9.781,-0.043,0,0,0,188,2021-01-15 19:04:56:713
0.172,-9.781,-0.043,0,0,0,198,2021-01-15 19:04:56:723
0.175,-9.781,-0.034,0,0,0,207,2021-01-15 19:04:56:732
0.175,-9.781,-0.034,0,0,0,218,2021-01-15 19:04:56:743
0.175,-9.781,-0.034,0,0,0,227,2021-01-15 19:04:56:752
0.175,-9.781,-0.034,0,0,0,240,2021-01-15 19:04:56:765
0.175,-9.781,-0.034,0,0,0,248,2021-01-15 19:04:56:773
0.175,-9.781,-0.034,0,0,0,258,2021-01-15 19:04:56:783
0.168,-9.8,-0.055,0,0,0,268,2021-01-15 19:04:56:793
0.168,-9.8,-0.055,0,0,0,278,2021-01-15 19:04:56:803
0.168,-9.8,-0.055,0,0,0,288,2021-01-15 19:04:56:813
0.168,-9.8,-0.055,0,0,0,300,2021-01-15 19:04:56:825
0.168,-9.8,-0.055,0,0,0,314,2021-01-15 19:04:56:839
0.168,-9.8,-0.055,0,0,0,318,2021-01-15 19:04:56:843
0.184,-9.788,-0.045,0,0,0,329,2021-01-15 19:04:56:854
0.184,-9.788,-0.045,0,0,0,338,2021-01-15 19:04:56:863
0.184,-9.788,-0.045,0,0,0,348,2021-01-15 19:04:56:873
0.184,-9.788,-0.045,0,0,0,364,2021-01-15 19:04:56:889
0.184,-9.788,-0.045,0,0,0,367,2021-01-15 19:04:56:892
0.184,-9.788,-0.045,0,0,0,379,2021-01-15 19:04:56:904
0.177,-9.785,-0.031,0,0,0,388,2021-01-15 19:04:56:913
0.177,-9.785,-0.031,0,0,0,398,2021-01-15 19:04:56:923
0.177,-9.785,-0.031,0,0,0,407,2021-01-15 19:04:56:932
0.177,-9.785,-0.031,0,0,0,419,2021-01-15 19:04:56:944
0.177,-9.785,-0.031,0,0,0,428,2021-01-15 19:04:56:953
0.177,-9.785,-0.031,0,0,0,438,2021-01-15 19:04:56:963
0.175,-9.773,-0.017,0,0,0,447,2021-01-15 19:04:56:972
0.175,-9.773,-0.017,0,0,0,458,2021-01-15 19:04:56:983
0.175,-9.773,-0.017,0,0,0,468,2021-01-15 19:04:56:993
0.175,-9.773,-0.017,0,0,0,479,2021-01-15 19:04:57:004
0.175,-9.773,-0.017,0,0,0,490,2021-01-15 19:04:57:015
0.175,-9.773,-0.017,0,0,0,498,2021-01-15 19:04:57:023
0.163,-9.795,-0.048,0,0,0,509,2021-01-15 19:04:57:034
0.163,-9.795,-0.048,0,0,0,529,2021-01-15 19:04:57:054
0.163,-9.795,-0.048,0,0,0,530,2021-01-15 19:04:57:055
0.163,-9.795,-0.048,0,0,0,538,2021-01-15 19:04:57:063
0.163,-9.795,-0.048,0,0,0,548,2021-01-15 19:04:57:073
0.163,-9.795,-0.048,0,0,0,561,2021-01-15 19:04:57:086
0.175,-9.785,-0.062,0,0,0,569,2021-01-15 19:04:57:094
0.175,-9.785,-0.062,0,0,0,581,2021-01-15 19:04:57:106
0.175,-9.785,-0.062,0,0,0.001,588,2021-01-15 19:04:57:113
0.175,-9.785,-0.062,0,0,0.001,598,2021-01-15 19:04:57:123
0.175,-9.785,-0.062,0,0,0.001,608,2021-01-15 19:04:57:133
0.175,-9.785,-0.062,0,0,0.001,620,2021-01-15 19:04:57:145
0.187,-9.797,-0.034,0,0,0.001,627,2021-01-15 19:04:57:152
0.187,-9.797,-0.034,0,0,0.001,639,2021-01-15 19:04:57:164
0.187,-9.797,-0.034,0,0,0.001,647,2021-01-15 19:04:57:172
0.187,-9.797,-0.034,0,0,0.001,659,2021-01-15 19:04:57:184
0.187,-9.797,-0.034,0,0,0.001,668,2021-01-15 19:04:57:193
0.165,-9.8,-0.031,0,0,0.001,678,2021-01-15 19:04:57:203
0.165,-9.8,-0.031,0,0,0.001,688,2021-01-15 19:04:57:213
0.165,-9.8,-0.031,0,0,0,719,2021-01-15 19:04:57:244
0.165,-9.8,-0.031,0,0,0,721,2021-01-15 19:04:57:246
0.165,-9.8,-0.031,0,0,0,721,2021-01-15 19:04:57:246
0.165,-9.8,-0.031,0,0,0,728,2021-01-15 19:04:57:253
0.165,-9.8,-0.031,0,0,0,738,2021-01-15 19:04:57:263
0.163,-9.788,-0.034,0,0,0,748,2021-01-15 19:04:57:273
0.163,-9.788,-0.034,0,0,0,758,2021-01-15 19:04:57:283
0.163,-9.788,-0.034,0,0,0,769,2021-01-15 19:04:57:294
0.163,-9.788,-0.034,0,0,0,780,2021-01-15 19:04:57:305
0.163,-9.788,-0.034,0,0,0,788,2021-01-15 19:04:57:313
0.163,-9.788,-0.034,0,0,0,798,2021-01-15 19:04:57:323
0.175,-9.79,-0.048,0,0,0,808,2021-01-15 19:04:57:333
0.175,-9.79,-0.048,0,0,0,819,2021-01-15 19:04:57:344
0.175,-9.79,-0.048,0,0,0,828,2021-01-15 19:04:57:353
0.175,-9.79,-0.048,0,0,0,838,2021-01-15 19:04:57:363
0.175,-9.79,-0.048,0,0,0,848,2021-01-15 19:04:57:373
0.175,-9.79,-0.048,0,0,0,858,2021-01-15 19:04:57:383
0.165,-9.79,-0.048,0,0,0,868,2021-01-15 19:04:57:393
0.165,-9.79,-0.048,0,0,0,878,2021-01-15 19:04:57:403
