time,qz,qy,qx,qw,roll,pitch,yaw
1610046699485415200,-0.9598907828330994,-0.2293851375579834,0.057575568556785583,0.15058955550193787,0.04663305729627609,-0.4754177927970886,2.8416659832000732
1610046699559535000,-0.9599419832229614,-0.22929583489894867,0.057613637298345566,0.15038450062274933,0.04685381427407265,-0.4752376973628998,2.842148542404175
1610046699633655300,-0.9599899649620056,-0.22918355464935303,0.0577307865023613,0.15020467340946198,0.04723919555544853,-0.47503626346588135,2.8426177501678467
1610046699668628500,-0.961219072341919,-0.22556662559509277,0.05722062289714813,0.14799843728542328,0.04844980686903,-0.4674093425273895,2.8475887775421143
1610046699673643500,-0.961237370967865,-0.225474551320076,0.05731697380542755,0.14798209071159363,0.048694804310798645,-0.46725013852119446,2.847681999206543
1610046699678658600,-0.9612597227096558,-0.22535352408885956,0.05743688717484474,0.14797526597976685,0.04899461939930916,-0.46703970432281494,2.847768783569336
1610046699683673600,-0.9612865447998047,-0.22520971298217773,0.05754643306136131,0.1479775309562683,0.04927435144782066,-0.46678024530410767,2.847832441329956
1610046699688798500,-0.9613128900527954,-0.22505147755146027,0.0576351061463356,0.14801183342933655,0.049496762454509735,-0.46648669242858887,2.847816228866577
1610046699693923600,-0.9613423943519592,-0.2248835265636444,0.05771401897072792,0.1480449140071869,0.049701787531375885,-0.46617045998573303,2.8477985858917236
1610046699699048400,-0.9613693356513977,-0.22472119331359863,0.05776055529713631,0.14809808135032654,0.0498247928917408,-0.4658569395542145,2.84771990776062
1610046699704173600,-0.9613941311836243,-0.22457292675971985,0.0577705018222332,0.14815855026245117,0.04986080899834633,-0.4655614495277405,2.8476057052612305
1610046699709298400,-0.9614177346229553,-0.22443732619285583,0.057735588401556015,0.1482246369123459,0.049793340265750885,-0.4652785062789917,2.8474552631378174
1610046699714263600,-0.9614417552947998,-0.22430607676506042,0.05765721946954727,0.14829741418361664,0.049627482891082764,-0.46499162912368774,2.8472681045532227
1610046699719228400,-0.9614644646644592,-0.22419703006744385,0.05753277987241745,0.14836369454860687,0.04935896769165993,-0.46473562717437744,2.8470702171325684
1610046699724193500,-0.9614881873130798,-0.2241017371416092,0.057369425892829895,0.14841747283935547,0.04900897294282913,-0.4644952714443207,2.846879482269287
1610046699729158400,-0.9615113139152527,-0.22402039170265198,0.05721094459295273,0.148451030254364,0.048675693571567535,-0.4642835855484009,2.846734046936035
1610046699734278400,-0.9615362882614136,-0.22394424676895142,0.05700615048408508,0.14848318696022034,0.04824189841747284,-0.4640684425830841,2.8465685844421387
1610046699739398400,-0.9615591764450073,-0.22387631237506866,0.05684024095535278,0.14850085973739624,0.04789683595299721,-0.4638809561729431,2.8464534282684326
1610046699744518400,-0.961585283279419,-0.22379113733768463,0.05668538436293602,0.14851923286914825,0.047580670565366745,-0.463661789894104,2.846343994140625
1610046699749638400,-0.9616062641143799,-0.22372481226921082,0.056554730981588364,0.14853332936763763,0.04731295630335808,-0.46348807215690613,2.846254587173462
1610046699754718500,-0.9616360664367676,-0.2236298769712448,0.05645683407783508,0.14852073788642883,0.04713860899209976,-0.4632647633552551,2.846242666244507
1610046699759798500,-0.9616677165031433,-0.22351603209972382,0.05638330802321434,0.14851520955562592,0.04701899737119675,-0.4630107283592224,2.846229314804077
1610046699764878600,-0.9617040157318115,-0.22337256371974945,0.05632917955517769,0.14851665496826172,0.046946823596954346,-0.4627026915550232,2.8462131023406982
1610046699769958400,-0.9617450833320618,-0.2231956422328949,0.05630185455083847,0.14852701127529144,0.0469382107257843,-0.46233516931533813,2.846193790435791
1610046699774993400,-0.9617927670478821,-0.22299008071422577,0.05627010762691498,0.14853905141353607,0.04692821949720383,-0.4619081914424896,2.8461713790893555
1610046699780028400,-0.9618453979492188,-0.22276312112808228,0.05623505637049675,0.1485523283481598,0.046917203813791275,-0.46143674850463867,2.846146821975708
1610046699785063400,-0.9619038105010986,-0.22251032292842865,0.05619600787758827,0.1485670953989029,0.04690494015812874,-0.46091166138648987,2.8461191654205322
1610046699790098400,-0.9619664549827576,-0.22223947942256927,0.05615417659282684,0.14858292043209076,0.04689183831214905,-0.4603491723537445,2.8460896015167236
1610046699795168500,-0.9620314240455627,-0.22195829451084137,0.056110747158527374,0.14859934151172638,0.04687827080488205,-0.4597652554512024,2.8460590839385986
1610046699800238600,-0.9620954394340515,-0.22168029844760895,0.056067805737257004,0.1486155390739441,0.046864867210388184,-0.45918795466423035,2.8460288047790527
1610046699805308400,-0.9621570706367493,-0.22141270339488983,0.05602646991610527,0.14863114058971405,0.0468519888818264,-0.45863229036331177,2.8459997177124023
1610046699810378500,-0.9622082710266113,-0.22120940685272217,0.055968206375837326,0.1486244946718216,0.04679400473833084,-0.45820116996765137,2.8460052013397217
1610046699815433500,-0.962266206741333,-0.22096428275108337,0.05598222836852074,0.14860880374908447,0.04690898582339287,-0.457706481218338,2.846069812774658
1610046699820488400,-0.9623118042945862,-0.220767080783844,0.05600089952349663,0.14859947562217712,0.04701562598347664,-0.45731091499328613,2.8461179733276367
1610046699825543400,-0.962358832359314,-0.2205473929643631,0.05607767030596733,0.14859235286712646,0.04725288227200508,-0.4568873941898346,2.846191883087158
1610046699830598400,-0.9623986482620239,-0.22035150229930878,0.056154556572437286,0.1485961228609085,0.04747729003429413,-0.45651277899742126,2.8462395668029785
1610046699835648500,-0.9624348282814026,-0.22015218436717987,0.05627322569489479,0.14861251413822174,0.04778597131371498,-0.4561444818973541,2.846280097961426
