time,z,y,x
1610357562199753700,-0.4649991989135742,-0.049714088439941406,-0.33489471673965454
1610357562209752800,-0.4835834503173828,0.05416584014892578,-0.5016551613807678
1610357562219752400,-0.49610042572021484,0.14210355281829834,-0.6437570452690125
1610357562229751600,-0.4953145980834961,0.1438603401184082,-0.6669471859931946
1610357562239751200,-0.4946422576904297,0.1485687494277954,-0.6981552243232727
1610357562249750800,-0.4946107864379883,0.15974891185760498,-0.7391490936279297
1610357562259750100,-0.49584102630615234,0.18014216423034668,-0.7864086627960205
1610357562269749200,-0.49808788299560547,0.20868229866027832,-0.8382378816604614
1610357562279748600,-0.5008535385131836,0.24310219287872314,-0.8934755921363831
1610357562289747700,-0.5035991668701172,0.2799201011657715,-0.9491091966629028
1610357562299746600,-0.5056934356689453,0.3118692636489868,-0.9963567852973938
1610357562309745700,-0.5068883895874023,0.33425188064575195,-1.0302574634552002
1610357562319744800,-0.5065126419067383,0.34400486946105957,-1.0543535947799683
1610357562329744000,-0.5044136047363281,0.3418537378311157,-1.0729589462280273
1610357562339742700,-0.5003337860107422,0.3276587724685669,-1.0887559652328491
1610357562349741800,-0.49370574951171875,0.29992544651031494,-1.1043072938919067
1610357562359741000,-0.4846782684326172,0.2595667839050293,-1.118659257888794
1610357562369739800,-0.47194480895996094,0.20252180099487305,-1.1352437734603882
1610357562379739000,-0.45339488983154297,0.1283785104751587,-1.1706560850143433
1610357562389738000,-0.4279050827026367,0.03601813316345215,-1.2270652055740356
1610357562399737000,-0.3951377868652344,-0.07149744033813477,-1.3051159381866455
1610357562409736200,-0.3576650619506836,-0.18962907791137695,-1.384497880935669
1610357562419735600,-0.3180685043334961,-0.31717801094055176,-1.4447683095932007
1610357562429734400,-0.2784280776977539,-0.4493567943572998,-1.4799859523773193
1610357562439733500,-0.23844242095947266,-0.579230546951294,-1.5070130825042725
1610357562449732600,-0.19844627380371094,-0.702301025390625,-1.5340121984481812
1610357562459731700,-0.15848827362060547,-0.8171095848083496,-1.5655345916748047
1610357562469730800,-0.11838245391845703,-0.9249551296234131,-1.601759672164917
1610357562479729700,-0.08080101013183594,-1.0227806568145752,-1.6335318088531494
1610357562489728800,-0.0433807373046875,-1.114633321762085,-1.6691768169403076
1610357562499728000,-0.006663322448730469,-1.205836534500122,-1.6946864128112793
1610357562509726700,0.02770709991455078,-1.2971689701080322,-1.6992250680923462
1610357562519725800,0.06109809875488281,-1.3892970085144043,-1.689782977104187
1610357562529724700,0.0949087142944336,-1.4827964305877686,-1.6731091737747192
1610357562539723500,0.1296710968017578,-1.57840895652771,-1.650045394897461
1610357562549722400,0.16605567932128906,-1.6748425960540771,-1.6273560523986816
1610357562559721500,0.2015552520751953,-1.7660505771636963,-1.6054874658584595
1610357562569720300,0.23389339447021484,-1.8440430164337158,-1.5936039686203003
1610357562579719200,0.2657155990600586,-1.911360502243042,-1.6036990880966187
1610357562589718000,1.6061458587646484,-1.3264217376708984,-0.28113865852355957
1610357562599716900,1.6420650482177734,-1.3791184425354004,-0.3481241464614868
1610357562609716000,1.6799983978271484,-1.4250168800354004,-0.438379168510437
1610357562619714800,-6.329250812530518,-1.201195240020752,-3.479562759399414
1610357562629713700,-7.455677032470703,-2.2724804878234863,-3.3630599975585938
1610357562639712500,-7.8592400550842285,-2.9881703853607178,-3.2773525714874268
1610357562649711400,-7.240871429443359,-3.3425047397613525,-3.0253756046295166
1610357562659710200,-6.344642162322998,-2.866565227508545,-2.803182601928711
1610357562669709000,-4.767826080322266,-1.6895105838775635,-3.0656964778900146
1610357562679708000,-3.8574953079223633,-0.9006342887878418,-2.7379329204559326
1610357562689706500,-3.257655143737793,-0.45006799697875977,-2.1879262924194336
1610357562699705300,-3.3094964027404785,-1.0268526077270508,-1.3813154697418213
1610357562709704000,-3.5077362060546875,-2.631394863128662,-0.7737491130828857
1610357562719702800,-3.9766979217529297,-3.9283528327941895,-0.2614865303039551
